OBJECTID,Type,Status,Facility Name,Comment,GlobalID,CountAttachments,AttachID,x,y
861,Accessible Pathway,Active,Lake Ontario Park,,3d2d95e9-3a81-4cfd-bcd9-e5e239b5c401,1,840,-8519301.4834,5498912.7056
862,Accessible Signage,Active,Lake Ontario Park,,3578bd48-abf6-4a1e-947c-39db2f67e9e5,2,841,-8519406.1827,5498901.0667
864,Accessible Table,Active,Lake Ontario Park,,da63fe78-e27d-4c30-bd65-07e9fe9a2492,1,843,-8519357.6285,5499100.2548
865,Accessible Bench,Active,City Park,,480f9390-edaf-4e65-afca-09f2477a79cb,1,1015,-8514613.0112,5500544.0492
867,Accessible Pathway,Active,City Park,,041929ac-05b3-4c81-aa72-5ca5113a23e5,1,1017,-8514655.3897,5500489.3016
868,Accessible Pathway,Active,City Park,,c6c2583f-7d46-4704-8343-4e1f49f33046,1,1018,-8514554.4287,5500378.7065
870,Sidewalk Curb Cut,Active,City Park,,cf7194f9-b962-4398-8b2a-7e03920ea7ee,1,1020,-8514630.6557,5500158.2083
871,Accessible Pathway,Active,City Park,,9df0a836-5289-476e-b29a-feeae71fa0ba,1,1021,-8514632.1836,5500161.1406
872,Accessible Pathway,Active,City Park,,8f5da1bf-8251-4d62-870e-145bdb1200a3,1,1022,-8514770.8594,5500094.4798
877,Audible Traffic Control,Active,800 Princess Street,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,f975e2bd-cd14-430e-bcc9-44da1ee44d73,,,-8516726.68166244,5502530.87183166
878,Audible Traffic Control,Active,800 Princess Street,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,93987648-93a6-4164-9dc6-d40f14503677,,,-8516727.81860187,5502531.91441896
885,Audible Traffic Control,Active,Bath Road and Centennial Drive,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,b986e829-a242-4463-ac4c-c3be23c83e2f,,,-8521345.3929545,5502282.01656041
886,Audible Traffic Control,Active,Bath Road at Kingston Centre,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,28db231b-c2f4-40f8-9132-0c95363c53c1,,,-8517809.5707824,5502751.99730105
887,Audible Traffic Control,Active,Bath Road and Palace Road,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,75fb6d20-4ceb-48e9-a46a-63496ddd916d,,,-8517555.47737974,5502780.36260452
888,Audible Traffic Control,Active,Bath Road and Sir John A Macdonald Boulevard,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,86952a68-73a6-4d4e-a7b3-0e0d9951ecc3,,,-8518084.35383573,5502720.62624872
889,Audible Traffic Control,Active,Bath Road and Vista Drive,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,a443bf0e-5e29-47e8-8aab-b6f83f82f73c,,,-8525283.76643752,5502209.00574883
890,Audible Traffic Control,Active,Highway 15 and John Marks Avenue,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,ed08b6dd-b947-49a7-a4c0-701c96dd8244,,,-8509696.82727625,5508154.34137271
891,Audible Traffic Control,Active,Highway 15 and Rose Abbey Drive,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,c40d23a2-c432-4118-93ed-65f17a693578,,,-8510569.06773611,5507097.69249342
892,Audible Traffic Control,Active,John Counter Boulevard and Aberfoyle Drive,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,7f7de493-4373-4000-9d76-f49b44c6f399,,,-8518440.21239762,5505602.23781351
893,Audible Traffic Control,Active,Johnson Street and Division Street,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,d22a9b17-b838-46c1-a291-7abcc08c74f4,,,-8515159.06953797,5501306.83081691
894,Audible Traffic Control,Active,King Street East and Barrack Street,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,008ac77c-a61c-491d-8627-f70f1c3662eb,,,-8513763.21102773,5501590.51299246
895,Audible Traffic Control,Active,Princess Street and Mooaliam Place,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,2d1b8c90-f39d-42a8-ac5d-a54a0366b7d4,,,-8517801.99252313,5503225.25043448
896,Audible Traffic Control,Active,Sir John A Macdonald Boulevard and Elmwood Street,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,d869843f-1e6b-4ac2-a896-a49a4ee08a0f,,,-8518091.51380057,5502981.64618184
897,Audible Traffic Control,Active,Sir John A Macdonald Boulevard and Terry Fox Drive,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,72f29788-f291-47b0-b6fb-4ebbaf658755,,,-8518118.38898755,5506080.05236682
898,Audible Traffic Control,Active,Sir John A Macdonald Boulevard and Dalton Avenue,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,d5bfe74a-71ac-43a4-a1ff-7e78731184c3,,,-8518134.79914975,5507118.65256338
899,Audible Traffic Control,Active,Union Street and Division Street,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,a38334b6-d1fb-4b68-83a2-33b53cdb8f37,,,-8515160.42174432,5500757.54055912
900,Audible Traffic Control,Active,Union Street and University Avenue,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,656700c4-c33c-4214-a07e-c15546e79ed1,,,-8515449.66593019,5500780.44645758
901,Audible Traffic Control,Active,Montreal Street and MacCauley Street,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,418fbd40-dffe-4738-9f72-160988210b8b,,,-8513536.11943186,5506581.36851405
902,Audible Traffic Control,Active,Weller Avenue and Wiley Street,these let people with visual or visual and hearing impairments know when they have the right-of-way to cross at a signalized intersection.,5a562612-12ac-4a38-8f06-2abdd1399eb4,,,-8514779.14965764,5506082.52232928
